id,title,year,reference,authors,keywords,format
2725,Ornithology Report,1971,"In: Burley, M.K. (Ed)  Joint Services Expedition: Elephant Island, 1970-71.  London: Royal Geographical Society. pp F1-F11.","Furse, J.R., Bruce, G.",,Scientific Paper
2726,Birds of the elephant island group,1975,"Ibis, 117: 529-531","Furse, J.R., Bruce, G.",,Scientific Paper
2727,On the taxonomic value of the intestinal convolutions in birds,1889,Proceedings of the Zoological Society London: 303-316,"Gadow, H",,Letter
21,The origins of the biota of the Falkland Islands and South Georgia.,1997,"Quaternary Proceedings, 5, pp. 59-69.","Buckland, P.C., Hammond, P.M.","Falkland islands, South georgia, Coleoptera, Fossil, Holocene, Refugia, Faunal origins, Charcoal",Scientific Paper
26,Mount Pleasant Airport. Falkland Islands: management and planning.,1987,"Proceedings of the Institution of Civil Engineers, Part 1, 82: 59-75","Chammings, M.B.",Engineering,Scientific Paper
27,"Mount Pleasant Airport, Falkland Islands.",1988,"Proceeding of the institution of Civil Engineers, Part 1. 84: 125-136","Chammings, M.B., Skene, G., Brice, G.J., KenricK, W.N.",Engineering,Scientific Paper
28,The Maurice Ewing Bank of the Falkland (Malvinas) Plateau: Late Miocene-Holocene Depositional and Erosional History and its Paleoenvironmental Implications (Abstract).,1977,"Antarctic Geoscience, International Union of Geological Sciences, Series B-No. 4., Symposium on Antarctic Geology and Geophysics, Madison, Wisconsin, U.S.A., August 22-27, 1977. Part. II, pp. 165.","Ciesielski, P.F.","Late miocene-holocene, Erosion, Paleoenvironment, Maurice erwing bank, Falkland plateau, Geology",Scientific Paper
64,A preliminary tephra study of Holocene peats in the Falkland Islands.,2001,"In: Juvigne, E. and Raynal, J.P.  (eds.) Tephras: chronology and archaeology. Les dossiers de l'Archeo-logis, 1, pp. 39-44. ","Hall, V.A., Wilson, P.N., Holmes, J.","Falkland islands, Antarctic, Peat, Tephra",Scientific Paper
71,Glaciation and species richness of birds on austral South American islands.,1979,"Occasional Papers of the Museum of Natural History The University of Kansas, 80, pp. 1-9.","Humphrey, P.S., Pefaur, J.E.","Glaciology, South american islands, Birds.",Scientific Paper
78,The economic aspects of prospecting for oil off the Falklands.,1991,"The Falkland Islands Association, Cambridge Seminar, April 1991. 'The Falkland Islands in the 1990s', pp. 22-28.","Kemp, A.","Economy, Oil, Falkland islands",Scientific Paper
79,"Mount Pleasat Airport, Falkland Islands: construction.",1987,"Proceedings of the Institution of Civil Engineers, Part 1, 82: 97-122","Kenrick, W.N.",Engineering,Scientific Paper
